sequence,action,kind,source,target,width,height,mean,stddev
387,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/image007.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_387-2025-07_image007-att.png,,,,
388,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/142_2025-07-10-145731_Re_Leyton_Koval_Distillery_ERTC_Question/image008.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_388-2025-07_image008-att.png,,,,
389,move,email,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/143_2025-07-10-200134_RE_Leyton_Koval_Distillery_ERTC_Question.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_389-2025-07_RE_Leyton_Koval_Distillery_ERTC_Question_Email.pdf,,,,
390,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/143_2025-07-10-200134_RE_Leyton_Koval_Distillery_ERTC_Question/image001.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_390-2025-07_image001-att.png,,,,
391,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/143_2025-07-10-200134_RE_Leyton_Koval_Distillery_ERTC_Question/image002.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_391-2025-07_image002-att.png,,,,
392,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/143_2025-07-10-200134_RE_Leyton_Koval_Distillery_ERTC_Question/image003.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_392-2025-07_image003-att.png,,,,
393,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/143_2025-07-10-200134_RE_Leyton_Koval_Distillery_ERTC_Question/image004.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_393-2025-07_image004-att.png,,,,
394,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/143_2025-07-10-200134_RE_Leyton_Koval_Distillery_ERTC_Question/image005.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_394-2025-07_image005-att.png,,,,
395,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/143_2025-07-10-200134_RE_Leyton_Koval_Distillery_ERTC_Question/image006.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_395-2025-07_image006-att.png,,,,
396,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/143_2025-07-10-200134_RE_Leyton_Koval_Distillery_ERTC_Question/image007.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_396-2025-07_image007-att.png,,,,
